0: hand
1: CUP_CHOCO_ICE_CREAM_145G_1
2: CUP_CHOCO_ICE_CREAM_145G_2
3: BOTTLE_TANGERINE_JUICE_320ML
4: BOTTLE_DONGA_POCARI_SWEAT_500ML
5: CAN_DONGA_POCARI_SWEAT_240ML
6: CAN_COCA_MONSTER_ZERO_SUGAR_355ML
7: CAN_STARBUCKS_DOUBLESHOT_ESSPRESO_CREAM_275ML
8: CAN_LOTTE_HOT6_THE_KING_RUSH_355ML
9: CAN_GWANGDONG_VITA500_CAN_240ML
10: BOTTLE_DONGA_ORONAMIN_C_120ML
11: BOTTLE_DONGA_BACCHUS_F_120ML
12: CAN_LOTTE_LETSBE_MILD_COFFEE_175ML
13: CAN_HAITAI_GEORGIA_CAFELATTE_240ML
14: BAG_CAPRI_SUN_ORANGE_200ML
15: CUP_CHOCO_ICE_CREAM_145G_3
16: BAG_NONGSHIM_NEOGULI_RAMEN_120G
17: CAN_LOTTE_PEPSI_ZERO_SUGAR_LIME_355ML
18: BAG_NONGSHIM_SINRAMEN_120G
19: CAN_LOTTE_CHILSUNG_CIDER_355ML_V2
20: BOTTLE_SAPPE_MOGUMOGU_LYCHEE_JUICE_320ML
21: BOTTLE_BUNDABERG_PINK_GRAPEFRUIT_375ML
22: CAN_HAITAI_GEORGIA_ORIGINAL_240ML_V2
23: BOTTLE_COCA_POWER_ADE_MOUNTAIN_BLAST_600ML
24: BOTTLE_OURHOME_JIRISANSU_500ML
25: BOTTLE_DONGA_POCARI_SWEAT_620ML
26: CAN_WELCHS_ZERO_GRAPE_355ML
27: BOX_BODRAMPORRIDGE_DONGJI_REDBEANPORRIDGE_430G
28: STICK_HAGENDAZS_VANILLA_CARAMEL_ALMOND_ICECREAM_BAR_80ML
29: BOTTLE_NONGSHIM_BAKSANSOO_500ML_V2
30: BOTTLE_HY_COOPERS_LIVERFATIGUECARE_140ML_V2
31: BOTTLE_WOONGIN_SKY_BARLEY_TEA_500ML
32: BAG_NULDAM_TTUNGKALONG_50G
33: BOTTLE_COCA_TORETA_500ML
34: BOTTLE_HY_BREW_EINSPANNER_270ML
35: BAG_NONGSHIM_CHAPAGETTI_140G
36: BOX_WHIPPEDCREAM_CASTELLA_165G
37: BOTTLE_HY_WILL_GGUJIBBONG_150ML
38: BAG_HAITAI_HOME_RUN_BALL_41G
39: BOTTLE_PRINGLES_ORIGINAL_110G
40: BOX_LOTTE_BINCH_102G
