달광도넛 초코	BAG_DALGWANG_DONUT_CHOCO_45G
자가비(bag)	BAG_HAITAI_JAGABEE_45G
새우깡	BAG_NONGSHIM_SAEUKKANG_90G
널담 뚱카롱 50g	BAG_NULDAM_TTUNGKALONG_50G
빼빼로 오리지널	BOX_LOTTE_PEPERO_ORIGINAL_46G
롯데 빈츠	BOX_LOTTE_BINCH_102G
홈런볼	BAG_HAITAI_HOME_RUN_BALL_41G
빼빼로 아몬드	BOX_LOTTE_PEPERO_ALMOND_37G
컨디션스틱	STICK_INNON_CONDITION_STICK_18G
육개장	CUP_NONGSHIM_YUKGAEJANG_86G
농심 짜파게티 140g	BAG_NONGSHIM_CHAPAGETTI_140G
삼양 불닭볶음면 140g	BAG_SAMYANG_BULDALG_BOKKEUMMYEON_140G
레쓰비	CAN_LOTTE_LETSBE_MILD_COFFEE_175ML
프로틴쉐이크 견과	BOTTLE_CJ_PROTEIN_SHAKE_NUTS_50G
박카스	BOTTLE_DONGA_BACCHUS_F_120ML
오로나민 C	BOTTLE_DONGA_ORONAMIN_C_120ML
환타	BOTTLE_FANTA_ORANGE_600ML
롯데 핫식스더킹러쉬355ml	CAN_LOTTE_HOT6_THE_KING_RUSH_355ML
광동) 옥수수수염차 500ml	BOTTLE_KWANGDONG_CORN_SILK_TEA_500ML
삼다수	BOTTLE_KWANGDONG_SAMDASOO_500ML
랩노쉬 프로틴 드링크 카카오(보라) 350ml	BOTTLE_LABNOSH_PROTEIN_DRINK_MILD_CACAO_350ML
롯데) 펩시 제로슈거 라임향 500ML	BOTTLE_LOTTE_PEPSI_ZERO_SUGAR_LIME_500ML
롯데) 트레비 500ML	BOTTLE_LOTTE_TREVI_LEMON_500ML
농심) 백산수 500ml	BOTTLE_NONGSHIM_BAKSANSOO_500ML_V2
웰치스제로	CAN_WELCHS_ZERO_GRAPE_355ML
풀무원샘물	BOTTLE_PULMUONE_SPRING_WATER_500ML
하루야채 퍼플 200ml	BOTTLE_HY_HALUYACHE_PURPLE_200ML_V2
하늘보리	BOTTLE_WOONGIN_SKY_BARLEY_TEA_500ML
캐슬 | 파워에이드)마운틴블러스트600ml	BOTTLE_COCA_POWER_ADE_MOUNTAIN_BLAST_600ML
카프리썬	BAG_CAPRI_SUN_ORANGE_200ML
웅진) 초록매실 500ml	BOTTLE_WOONGJIN_GREEN_PLUM_500ML
닭가슴살 직화스테이크	BAG_CJ_CHICKEN_BREAST_STEAK_100G
빕스 감바스라이스 230g	BAG_GAMBAS_RICE_230G
한입피자 콤비네이션	BAG_SAJO_PIZZA_COMBINATION_80G
스틱 크라비아	STICK_DAERIM_STICK_CLAVIA_60G
숯불구이맛 핫바	STICK_MAXBONG_CHARCOAL_GRILLED_HOT_BAR_90G
비비고 청양 고기만두 200g	BAG_BIBIGO_CHEONGYANG_MEAT_DUMPLINGS_200G
정직한 구운란	BOX_SEYANG_BAKED_EGGS_70G
비비고 컵떡볶이 110g	CUP_BIBIGO_TTEOKBOKKI_110G
치킨마요	CUP_CJ_HATBAN_CUPBAN_CHICKEN_MAYO_313G
